name,strain_type,description,image_filename,flavor_profile,aroma_profile,thc_min,thc_max,cbd_min,cbd_max,effects,terpenes,states
Zkittlez,indica,Fruity relaxation with a mellow happy tone,zkittlez.jpg,tropical candy,sweet herbal,16,23,0,1,relaxed:0.9,myrcene:0.8,"cinematic-review:0.9,late-night-vibes:0.84,relaxed-creativity:0.80"
Apple Fritter,hybrid,Balanced creative calm with sweet euphoric warmth,apple_fritter.jpg,apple pastry,sweet earthy,20,27,0,1,creative:0.8,limonene:0.7,"cinematic-review:0.9,editing-mode:0.78,relaxed-creativity:0.86"
Mimosa,sativa,Social uplifting energy with bright daytime appeal,mimosa.jpg,citrus orange,sweet tropical,18,25,0,1,energetic:0.9,limonene:0.8,"creative-flow:1.0,idea-generation:0.82,music-production-mode:0.80"
Strawberry Cough,sativa,Creative clarity with light social warmth,strawberry_cough.jpg,strawberry berry,sweet peppery,17,24,0,1,creative:0.9,terpinolene:0.8,"creative-flow:0.9,idea-generation:0.86,storyboarding-mind:0.83"
White Widow,hybrid,Balanced stimulation with calm centered focus,white_widow.jpg,woody citrus,earthy pungent,18,25,0,1,creative:0.8,myrcene:0.7,"deep-focus:0.7,editing-mode:0.80,sound-design-mode:0.78"
AK-47,hybrid,Calm creative uplift with smooth hybrid balance,ak47.jpg,floral earthy,skunky sweet,17,24,0,1,creative:0.8,myrcene:0.7,"creative-flow:0.8,music-production-mode:0.78,relaxed-creativity:0.76"
Chemdawg,hybrid,Mental clarity boost with potent classic effects,chemdawg.jpg,diesel lemon,pungent earthy,19,27,0,1,focused:0.9,caryophyllene:0.8,"deep-focus:0.9,debugging-mode:0.84,sound-design-mode:0.80,system-design-thinking:0.82"
GSC,hybrid,Euphoric creativity with warm full-bodied comfort,gsc.jpg,mint sweet,earthy dessert,19,28,0,1,creative:0.9,caryophyllene:0.8,"creative-flow:0.9,music-production-mode:0.82,relaxed-creativity:0.80"
LSD,hybrid,Trippy introspection with dreamy cinematic depth,lsd.jpg,earthy chestnut,herbal sweet,18,24,0,1,creative:0.9,terpinolene:0.8,"cinematic-review:0.8,sound-design-mode:0.86,storyboarding-mind:0.76"
Skywalker OG,indica,Heavy relaxing body high with deep evening calm,skywalker_og.jpg,spicy herbal,earthy diesel,20,27,0,1,relaxed:1.0,myrcene:0.9,"cinematic-review:1.0,late-night-wind-down:0.88"
Purple Punch,indica,Sweet calming strain with soft sedating finish,purple_punch.jpg,grape blueberry,sweet vanilla,18,24,0,1,relaxed:1.0,myrcene:0.9,"cinematic-review:1.0,late-night-vibes:0.82,late-night-wind-down:0.90"
Banana Kush,hybrid,Relaxed creative mood with mellow euphoric tone,banana_kush.jpg,banana tropical,sweet earthy,18,25,0,1,relaxed:0.8,myrcene:0.7,"cinematic-review:0.8,relaxed-creativity:0.84"
Runtz,hybrid,Balanced euphoric effects with rich smooth flavor,runtz.jpg,candy fruit,sweet creamy,19,27,0,1,relaxed:0.9,limonene:0.8,"cinematic-review:0.9,late-night-vibes:0.84,relaxed-creativity:0.82"
Ice Cream Cake,indica,Deep relaxing high with heavy body comfort,ice_cream_cake.jpg,vanilla creamy,sweet doughy,20,28,0,1,relaxed:1.0,myrcene:0.9,"cinematic-review:1.0,late-night-wind-down:0.92"
Cinderella 99,sativa,Fast cerebral lift with strong focus and clarity,cinderella_99.jpg,citrus pineapple,sweet herbal,18,24,0,1,focused:0.9,terpinolene:0.8,"deep-focus:0.9,debugging-mode:0.82,system-design-thinking:0.80"
Tangie,sativa,Zesty citrus strain with a lively upbeat creative feel,tangie.jpg,orange citrus,fresh sweet,17,24,0,1,creative:0.9,limonene:0.9,"creative-flow:0.9,idea-generation:0.88,storyboarding-mind:0.84"
Harlequin,hybrid,Balanced clear-headed strain with gentler functional effects,harlequin.jpg,earthy mango,woody herbal,8,15,4,10,focused:0.8,pinene:0.7,"deep-focus:0.8,editing-mode:0.76,system-design-thinking:0.72"
Jillybean,hybrid,Cheerful creative hybrid with bright daytime appeal,jillybean.jpg,mango orange,sweet tropical,15,22,0,1,creative:0.8,limonene:0.8,"creative-flow:0.8,idea-generation:0.84,music-production-mode:0.80"
Chocolope,sativa,Stimulating and upbeat strain with strong creative lift,chocolope.jpg,chocolate coffee,sweet earthy,17,23,0,1,creative:0.9,terpinolene:0.8,"creative-flow:0.9,music-production-mode:0.86,idea-generation:0.82"
Sunset Sherbet,hybrid,Relaxed euphoric hybrid with flavorful smooth body feel,sunset_sherbet.jpg,berry citrus,sweet creamy,18,24,0,1,relaxed:0.8,limonene:0.7,"cinematic-review:0.8,late-night-vibes:0.80,relaxed-creativity:0.82"
MAC 1,hybrid,Polished hybrid with smooth uplifting focus and balance,mac_1.jpg,citrus diesel,creamy pungent,19,27,0,1,focused:0.8,limonene:0.7,"deep-focus:0.8,editing-mode:0.82,sound-design-mode:0.80,system-design-thinking:0.78"
Tropicana Cookies,hybrid,Vibrant citrus hybrid with lively creative spark,tropicana_cookies.jpg,orange cookie,sweet citrus,18,26,0,1,creative:0.9,limonene:0.9,"creative-flow:0.9,idea-generation:0.86,music-production-mode:0.84,storyboarding-mind:0.82"
Super Silver Haze,sativa,Classic haze profile with focused energetic clarity,super_silver_haze.jpg,lemon spice,earthy skunky,18,25,0,1,focused:0.8,terpinolene:0.8,"deep-focus:0.8,debugging-mode:0.80,system-design-thinking:0.78"
Dutch Treat,hybrid,Smooth balanced hybrid with calming creative comfort,dutch_treat.jpg,berry pine,sweet earthy,17,24,0,1,creative:0.8,pinene:0.7,"cinematic-review:0.8,editing-mode:0.76,sound-design-mode:0.78,relaxed-creativity:0.80"
Flo,hybrid,Clear-headed hybrid with light creative motion and ease,flo.jpg,citrus floral,earthy sweet,14,20,0,1,focused:0.8,pinene:0.7,"deep-focus:0.8,editing-mode:0.80,system-design-thinking:0.76"
Blueberry Muffin,indica,Comforting fruity strain with soft relaxing warmth,blueberry_muffin.jpg,blueberry pastry,sweet creamy,16,24,0,1,relaxed:0.8,myrcene:0.8,"cinematic-review:0.8,late-night-vibes:0.80,late-night-wind-down:0.84"
Gary Payton,hybrid,Strong hybrid with focused uplift and clear punch,gary_payton.jpg,gas cookies,earthy sweet,20,27,0,1,focused:0.9,caryophyllene:0.8,"deep-focus:0.9,debugging-mode:0.84,system-design-thinking:0.82"
Gelonade,hybrid,Citrus-forward hybrid with bright creative momentum,gelonade.jpg,lemon fruit,sweet zesty,18,26,0,1,creative:0.9,limonene:0.9,"creative-flow:0.9,idea-generation:0.84,storyboarding-mind:0.82"
